1	0.01	1145.17	127.8178
1	0.01	1161.39	238.5963
2	0.01	1156.27	129.6252
4	0.03	1142.61	127.6554
4	0.03	1154.56	131.3441
5	0.04	1146.03	127.8605
5	0.04	1148.59	127.9545
7	0.05	1138.35	127.2697
8	0.06	1146.03	127.8605
11	0.08	1139.20	127.3584
13	0.09	1208.32	114.9437
16	0.11	1139.20	127.3584
19	0.13	1178.45	212.0306
29	0.21	1138.35	127.2697
32	0.21	1204.91	116.5542
35	0.24	1208.32	638.5443
61	0.43	1143.47	127.7152
64	0.46	1139.20	127.3584
67	0.47	1147.73	127.9289
125	0.88	1148.59	127.9545
128	0.90	1153.71	127.9886
131	0.92	1147.73	127.9289
253	1.77	1155.41	127.9545
256	1.80	1157.12	189.7856
259	1.82	1153.71	127.9886
509	3.56	1157.97	127.8605
512	3.57	1208.32	857.5656
515	3.58	1166.51	127.1753
1021	7.09	1166.51	127.1753
1024	7.08	1171.63	126.4863
1027	7.07	1176.75	125.5850
2045	13.52	1285.97	976.0324
2048	13.96	1186.99	123.1257
2051	13.93	1191.25	121.8326
4093	25.72	1311.57	626.0996
4096	24.68	1335.47	105.4652
4099	25.26	1301.33	70.7547
8189	46.77	1412.27	127.9289
8192	46.68	1416.53	134.3831
8195	47.01	1406.29	127.9886
16381	60.91	2158.93	126.8571
16384	60.11	2187.95	127.4413
16387	60.25	2191.36	249.0447
32765	79.52	3298.99	91.2867
32768	77.03	3407.36	118.3983
32771	76.67	3462.83	844.7724
65533	96.79	5422.08	210.2112
65536	95.35	5504.85	213.6727
65539	95.56	5489.49	127.1753
131069	109.34	9594.03	224.5597
131072	106.76	9823.57	129.0086
131075	107.67	9771.52	856.0167
262141	117.43	17860.27	216.0467
262144	115.21	18230.61	916.6500
262147	116.97	17934.51	347.8953
524285	98.67	42512.21	364.9823
524288	97.37	43186.35	2726.9066
524291	98.35	42682.88	1396.4818
1048573	59.00	142217.39	2073.3680
1048576	59.38	141369.17	4030.2465
1048579	59.16	143109.97	23662.1694
2097149	53.06	316174.51	707.2949
2097152	53.06	316179.63	1507.9564
2097155	53.05	316241.92	1327.1964
4194301	53.50	627222.19	990.1329
4194304	53.33	630672.21	45688.4814
