# [SIZE (B)]	[BANDWIDTH (Gb/s)]	[AVERAGE TIME (nsec)]	[STD DEV]
1	inf	30.72	83.1902
1	inf	33.28	86.0937
2	inf	29.44	81.6696
4	inf	28.16	80.0998
4	inf	32.00	84.6640
5	inf	29.44	81.6696
5	inf	30.72	83.1902
7	inf	30.72	83.1902
8	inf	30.72	83.1902
11	inf	29.44	81.6696
13	inf	29.44	81.6696
16	inf	32.00	84.6640
19	inf	30.72	83.1902
29	inf	28.16	80.0998
32	inf	32.00	84.6640
35	inf	33.28	86.0937
61	inf	29.44	81.6696
64	inf	26.88	78.4777
67	inf	29.44	81.6696
125	inf	34.56	87.4812
128	inf	33.28	86.0937
131	inf	32.00	84.6640
253	inf	33.28	86.0937
256	inf	32.00	84.6640
259	inf	33.28	86.0937
509	inf	33.28	86.0937
515	inf	42.24	95.0222
1021	inf	47.36	99.4042
1024	inf	42.24	95.0222
1027	inf	40.96	93.8512
2045	inf	57.60	106.9011
2048	inf	51.20	102.4000
2051	inf	52.48	103.3476
4093	inf	81.92	119.4179
4096	inf	80.64	118.9161
8189	inf	84.48	120.3745
8192	inf	92.16	122.8800
8195	inf	93.44	123.2461
16381	inf	224.00	84.6640
16384	inf	245.76	95.2375
16387	inf	249.60	39.9680
32765	141.24	1862.40	114.3077
32768	141.04	1866.24	124.3380
32771	141.73	1856.00	110.8513
65533	142.82	3674.88	122.4994
65536	141.79	3715.84	361.1120
65539	142.88	3673.60	122.1042
131069	148.70	7182.08	1627.8052
131072	141.30	7512.32	1336.9960
131075	145.73	7292.16	1422.5811
262141	153.86	13753.60	1851.3487
262144	146.50	14412.80	1605.0608
262147	148.76	14172.16	1440.4499
524285	147.83	28395.52	927.7519
524288	141.70	29633.28	1096.1756
524291	145.92	28805.12	1526.5759
1048573	136.26	61610.24	1780.6778
1048576	124.24	67607.04	2553.7447
1048579	130.91	64134.40	1982.6266
2097149	109.22	153628.16	1783.8976
2097152	107.76	155823.36	4695.1110
2097155	109.35	153431.04	968.2216
4194301	108.59	309008.64	2585.9900
4194304	108.61	308968.96	2566.9269
4194307	108.70	308679.68	1089.1770
8388605	101.80	659288.32	8011.9247
8388608	102.06	657637.12	6531.6832
8388611	101.43	661743.36	9377.8876
16777213	52.08	2577386.24	18713.2984
16777216	53.01	2532421.12	38242.6362
16777219	52.39	2561953.28	14343.2510
33554429	43.81	6127633.92	20080.6261
33554432	43.79	6129999.36	26534.6858
33554435	43.79	6130318.08	21258.2483
67108861	42.37	12670680.32	38482.7703
67108864	42.41	12659605.76	22074.8204
67108867	42.39	12665561.60	32261.1983
