# [SIZE (B)]	[BANDWIDTH (Gb/s)]	[AVERAGE TIME (nsec)]	[STD DEV]
1	inf	24.32	75.0630
1	inf	25.60	76.8000
2	inf	25.60	76.8000
4	inf	26.88	78.4777
5	inf	24.32	75.0630
5	inf	25.60	76.8000
7	inf	26.88	78.4777
8	inf	24.32	75.0630
11	inf	26.88	78.4777
13	inf	25.60	76.8000
16	inf	25.60	76.8000
19	inf	26.88	78.4777
29	inf	28.16	80.0998
32	inf	29.44	81.6696
35	inf	26.88	78.4777
61	inf	26.88	78.4777
64	inf	26.88	78.4777
67	inf	29.44	81.6696
125	inf	29.44	81.6696
128	inf	28.16	80.0998
131	inf	25.60	76.8000
253	inf	32.00	84.6640
256	inf	29.44	81.6696
259	inf	29.44	81.6696
509	inf	34.56	87.4812
512	inf	32.00	84.6640
515	inf	33.28	86.0937
1021	inf	39.68	92.6476
1024	inf	39.68	92.6476
1027	inf	33.28	86.0937
2045	inf	48.64	100.4290
2048	inf	49.92	101.4274
4093	inf	66.56	112.2904
4096	inf	66.56	112.2904
8189	inf	199.68	106.0471
8192	inf	197.12	107.7331
8195	inf	198.40	106.9011
16381	419.76	348.16	122.8800
16384	417.28	350.72	123.5979
16387	418.64	349.44	123.2461
32765	211.69	1246.72	96.8411
32768	204.34	1305.60	333.7832
32771	211.39	1248.00	92.0800
65533	182.45	2877.44	109.3333
65536	182.86	2871.04	108.2414
65539	183.03	2868.48	106.4711
131069	181.56	5888.00	1561.6000
131072	176.89	5967.36	803.1997
131075	177.37	5982.72	1220.8570
262141	176.50	12048.64	2046.5719
262144	176.81	12023.04	2005.3769
262147	180.38	11747.84	1697.8784
524285	179.02	23557.12	2116.7593
524288	172.03	24524.80	2309.6819
524291	174.28	24151.04	1801.5635
1048573	176.44	47697.92	3028.7905
1048576	163.99	51370.24	3854.7580
1048579	172.15	48821.76	2324.7549
2097149	122.34	137164.80	1907.3289
2097152	115.38	145687.04	6617.3494
2097155	122.42	137067.52	1774.4254
4194301	114.58	292880.64	2935.2024
4194304	114.61	292805.12	3010.7722
4194307	114.60	292819.20	3218.5256
8388605	110.80	605729.28	4257.9434
8388608	110.77	605841.92	4158.7600
8388611	110.69	606344.96	5231.7330
16777213	95.05	1412116.48	7075.5343
16777216	94.80	1416019.20	18732.7628
16777219	95.02	1412552.96	6973.2576
33554429	46.37	5788682.24	18202.5332
33554432	44.49	6033762.56	24929.1648
33554435	44.48	6034507.52	28067.7914
67108864	44.45	12077806.08	31862.2161
67108867	44.44	12080487.68	38301.8530
