# [SIZE (B)]	[BANDWIDTH (Gb/s)]	[AVERAGE TIME (nsec)]	[STD DEV]
1	0.00	5859.84	1581.5725
1	0.00	5907.20	2151.7615
2	0.00	6046.72	2368.7347
4	0.01	5712.64	398.7174
4	0.01	6027.52	2386.1339
5	0.01	5752.32	1035.4274
5	0.01	5850.88	1990.6198
7	0.01	5666.56	297.0896
8	0.01	5847.04	1539.2903
11	0.01	7820.80	2673.9136
13	0.01	7586.56	2296.6179
16	0.02	7409.92	1264.8570
19	0.02	7585.28	2004.5487
29	0.03	7653.12	2606.2255
32	0.03	7713.28	2453.6381
35	0.04	7674.88	2303.7098
61	0.07	7628.80	2477.6515
64	0.07	7729.92	2370.2749
67	0.07	7699.20	2396.1569
125	0.13	7888.64	2836.0684
128	0.14	7745.28	2511.6715
131	0.14	7692.80	2323.3675
253	0.27	7637.76	1990.0238
256	0.28	7704.32	2367.3561
259	0.28	7649.28	2105.8330
509	0.54	7834.88	2362.6869
512	0.55	7822.08	2779.3039
515	0.55	8587.52	11304.7640
1021	1.07	7859.20	2193.6974
1024	1.06	8062.72	2819.9533
1027	1.07	8039.68	2639.2964
2045	2.05	8340.48	2809.1681
2048	2.02	8541.44	3061.4408
2051	2.08	8120.32	2109.0361
4093	3.90	8606.72	2075.2681
4096	3.87	8824.32	2690.5478
4099	3.90	8642.56	2193.1357
8189	6.95	9794.56	2896.5628
8192	6.93	9826.56	2812.4694
8195	6.98	9679.36	2481.7995
16381	9.63	13932.80	2923.7215
16384	9.78	13658.88	2504.7343
16387	9.57	14056.96	3070.4199
32765	16.59	16055.04	2649.7394
32768	16.67	16024.32	2842.8794
32771	16.64	15985.92	2465.2810
65533	23.30	22749.44	2987.9354
65536	23.34	22652.16	2561.0209
65539	23.59	22447.36	2914.6449
131069	38.61	27313.92	2482.4342
131072	38.83	27124.48	2141.5892
131075	38.72	27197.44	2095.8006
262141	53.47	39335.68	2410.2910
262144	53.74	39120.64	2280.9984
262147	53.65	39189.76	2256.1107
524285	70.08	59912.96	2108.6037
524288	70.15	59886.08	2771.6076
524291	70.07	59953.92	2709.6965
1048573	81.74	102694.40	2797.5248
1048576	81.83	102544.64	1831.5324
1048579	81.75	102676.48	2727.9752
2097149	90.19	186060.80	2555.6443
2097152	90.22	185976.32	1735.3156
2097155	90.08	186292.48	3122.7591
4194301	94.06	356760.32	2394.8109
4194304	94.03	356839.68	1777.9744
4194307	94.04	356833.28	2229.1941
8388605	96.57	694922.24	2314.3363
8388608	96.50	695425.28	2279.2624
8388611	96.29	697352.96	18784.0229
16777213	97.78	1372616.96	3094.9413
16777216	97.73	1373322.24	3864.0603
16777219	97.71	1373638.40	4471.9791
33554429	98.41	2727755.52	4457.9148
33554432	98.36	2729091.84	5227.7292
33554435	98.38	2728686.08	5163.1786
67108864	98.56	5447407.36	13471.3436
67108867	98.42	5455258.88	52501.1494
