
# [SIZE (B)]	[BANDWIDTH (Gb/s)]	[AVERAGE TIME (nsec)]	[STD DEV]
1	0.00	5680.64	1056.2567
1	0.00	5917.44	1447.9686
2	0.00	5838.08	1365.1541
4	0.01	5786.88	1138.8109
4	0.01	5811.20	1178.9905
5	0.01	5696.00	1210.7339
5	0.01	5771.52	1219.1078
7	0.01	5749.76	1265.5414
8	0.01	5731.84	1383.2981
11	0.02	5674.24	797.2160
13	0.02	5729.28	992.3294
16	0.02	5694.72	689.5376
19	0.03	5798.40	1769.5045
29	0.04	5697.28	1478.1639
32	0.05	5713.92	1323.9829
35	0.05	5763.84	1741.3604
61	0.09	5608.96	706.2956
64	0.09	5605.12	747.8520
67	0.10	5633.28	1169.6420
125	0.18	5699.84	1545.8834
128	0.18	5637.12	1193.0699
131	0.19	5611.52	759.5740
253	0.36	5615.36	687.4339
256	0.37	5623.04	1079.2693
259	0.37	5574.40	192.3197
509	0.72	5697.28	757.2571
512	0.73	5676.80	1073.5034
515	0.73	5653.76	176.9505
1021	1.40	5962.24	1447.6093
1024	1.40	5945.60	1342.5821
1027	1.42	5852.16	1172.3123
2045	2.71	6101.76	1140.5015
2048	2.69	6241.28	1710.5245
2051	2.70	6160.64	1282.0662
4093	4.99	6620.16	1057.3885
4096	4.94	6679.04	746.8841
4099	4.97	6691.84	1312.3690
8189	7.96	8270.08	846.0393
8192	7.88	8378.88	1111.0842
8195	7.86	8454.40	1567.9739
16381	11.03	12080.64	2168.3653
16384	11.10	11968.00	1909.1748
16387	11.17	11833.60	1536.7332
32765	18.83	14144.00	2537.7271
32768	18.92	14000.64	1899.1318
32771	18.97	13949.44	1844.6199
65533	25.28	20899.84	2241.4317
65536	25.19	20928.00	1917.2247
65539	25.27	20874.24	1946.4150
131069	41.76	25196.80	1782.1788
131072	41.89	25089.28	1474.7239
131075	41.45	25391.36	1822.6548
262141	57.31	36664.32	1833.6035
262144	57.51	36515.84	1513.0098
262147	57.48	36532.48	1511.2236
524285	73.11	57446.40	2275.8098
524288	73.06	57501.44	2572.8544
524291	73.02	57516.80	2329.4505
1048573	84.87	98855.68	1479.5156
1048576	84.23	99996.16	9122.5768
1048579	84.35	99534.08	3009.5734
2097149	90.80	184776.96	1549.7787
2097152	90.70	184999.68	2063.0801
2097155	90.47	185502.72	3088.8668
4194301	94.59	354758.40	1436.4400
4194304	94.23	356116.48	3861.4747
4194307	94.60	354713.60	1747.5633
8388605	96.35	697369.60	28472.3103
8388608	96.63	694490.88	2342.0009
8388611	96.64	694406.40	1805.4694
16777213	97.73	1373340.16	2864.4318
16777216	97.77	1372811.52	2238.7632
16777219	97.82	1372104.96	3477.2563
33554429	53.82	4987283.20	20055.2177
33554432	53.65	5003403.52	20558.4385
33554435	53.75	4994311.68	24920.4253
67108861	61.04	8795644.16	31783.4230
67108864	60.77	8835289.60	51441.6617
67108867	60.87	8819772.16	43971.7242
