# [SIZE (B)]	[BANDWIDTH (Gb/s)]	[AVERAGE TIME (nsec)]	[STD DEV]
1	inf	24.32	75.0630
4	inf	28.16	80.0998
5	inf	26.88	78.4777
7	inf	24.32	75.0630
8	inf	28.16	80.0998
11	inf	25.60	76.8000
13	inf	30.72	83.1902
16	inf	26.88	78.4777
19	inf	26.88	78.4777
29	inf	26.88	78.4777
32	inf	29.44	81.6696
35	inf	28.16	80.0998
61	inf	28.16	80.0998
64	inf	28.16	80.0998
67	inf	24.32	75.0630
125	inf	30.72	83.1902
128	inf	28.16	80.0998
131	inf	32.00	84.6640
253	inf	28.16	80.0998
256	inf	29.44	81.6696
259	inf	30.72	83.1902
509	inf	35.84	88.8287
512	inf	28.16	80.0998
515	inf	34.56	87.4812
1021	inf	34.56	87.4812
1024	inf	30.72	83.1902
1027	inf	35.84	88.8287
2045	inf	46.08	98.3520
2048	inf	44.80	97.2716
2051	inf	46.08	98.3520
4093	inf	74.24	116.1631
4096	inf	75.52	116.7469
8189	inf	84.48	120.3745
8192	inf	87.04	121.2694
8195	inf	85.76	120.8296
16381	inf	236.80	67.4282
16384	inf	245.76	80.3041
16387	inf	225.28	83.1902
32765	156.27	1687.04	125.9093
32768	153.26	1719.04	118.3637
32771	153.84	1760.00	773.9238
65533	143.21	3664.64	118.9161
65536	143.29	3663.36	133.9788
65539	143.76	3650.56	112.2904
131069	147.79	7288.32	2030.7933
131072	140.85	7710.72	2649.6383
131075	146.80	7278.08	1670.7820
262141	152.81	13928.96	2379.0362
262144	147.17	14378.24	1918.5962
262147	148.46	14291.20	2135.7885
524285	158.12	26612.48	1818.3746
524288	152.95	27481.60	1484.7448
524291	156.18	26986.24	2246.8689
1048573	120.48	69692.16	2313.0811
1048576	107.56	78082.56	2909.2899
1048579	114.49	73329.92	2154.1601
2097149	109.94	152616.96	1131.7517
2097152	109.36	153450.24	2469.4750
2097155	109.92	152634.88	1127.4788
4194301	108.11	310365.44	1376.2655
4194304	108.13	310309.12	1132.0288
4194307	108.10	310397.44	1421.8928
8388605	104.06	644913.92	2774.5839
8388608	104.10	644677.12	3959.4611
8388611	104.06	644910.08	2666.0603
16777213	51.03	2629990.40	9790.5860
16777216	51.65	2599146.24	32164.6430
16777219	51.19	2621967.36	11134.2826
33554429	43.85	6121770.24	44077.0729
33554432	43.73	6138150.40	17658.2808
33554435	43.77	6132405.76	29567.8181
67108861	42.31	12687969.28	29496.3169
67108864	42.42	12656480.00	65932.7811
67108867	42.32	12684704.00	34937.4394
