# [SIZE (B)]	[BANDWIDTH (Gb/s)]	[AVERAGE TIME (nsec)]	[STD DEV]
1	inf	26.88	78.4777
4	inf	25.60	76.8000
4	inf	28.16	80.0998
5	inf	25.60	76.8000
5	inf	26.88	78.4777
7	inf	26.88	78.4777
8	inf	25.60	76.8000
11	inf	28.16	80.0998
13	inf	25.60	76.8000
16	inf	26.88	78.4777
19	inf	26.88	78.4777
29	inf	29.44	81.6696
32	inf	28.16	80.0998
35	inf	29.44	81.6696
61	inf	28.16	80.0998
64	inf	24.32	75.0630
67	inf	28.16	80.0998
125	inf	29.44	81.6696
128	inf	32.00	84.6640
131	inf	32.00	84.6640
253	inf	28.16	80.0998
256	inf	30.72	83.1902
259	inf	32.00	84.6640
509	inf	30.72	83.1902
512	inf	34.56	87.4812
515	inf	28.16	80.0998
1021	inf	35.84	88.8287
1024	inf	40.96	93.8512
1027	inf	42.24	95.0222
2045	inf	44.80	97.2716
2048	inf	46.08	98.3520
2051	inf	47.36	99.4042
4093	inf	65.28	111.5805
4096	inf	62.72	110.1023
4099	inf	108.80	126.5518
8189	inf	193.28	110.1023
8192	inf	192.00	110.8513
8195	inf	188.16	112.9813
16381	427.44	340.48	120.3745
16384	426.24	341.76	120.8296
16387	425.04	343.04	121.2694
32765	222.96	1189.12	122.4994
32768	222.12	1194.24	126.1368
32771	221.97	1194.24	120.8296
65533	199.39	2634.24	116.1631
65536	201.08	2611.20	102.4000
65539	200.81	2615.04	105.1705
131069	197.19	5319.68	109.0933
131072	188.57	5601.28	794.6563
131075	190.34	5630.72	1591.0143
262141	186.43	11409.92	2013.2264
262144	184.34	11489.28	1642.7063
262147	186.04	11353.60	1420.4540
524285	192.09	21939.20	1884.8625
524288	178.98	23607.04	2468.0946
524291	185.21	22725.12	1654.4633
1048573	191.66	43897.60	2702.9451
1048576	178.35	47155.20	2673.3314
1048579	185.23	45400.32	2577.0437
2097149	122.52	136954.88	1568.5009
2097152	117.48	143036.16	5775.1965
2097155	122.01	137589.76	3561.3308
4194301	113.79	294990.08	5622.0536
4194304	114.78	292353.28	1142.7174
4194307	114.14	294053.12	4807.4113
8388605	110.31	608439.04	7542.2908
8388608	110.62	606702.08	5868.5737
8388611	110.53	607201.28	5342.2827
16777213	93.50	1435694.08	14674.5792
16777216	93.36	1438128.64	28011.5990
16777219	93.52	1435260.16	14619.8410
33554429	47.33	5670997.76	11295.2665
33554432	45.32	5923683.84	33197.1280
33554435	45.44	5907340.80	16455.6782
67108861	47.28	11355820.80	21662.3040
67108864	45.32	11845720.32	39280.3750
67108867	45.38	11829685.76	19490.5225
