# [SIZE (B)]	[BANDWIDTH (Gb/s)]	[AVERAGE TIME (nsec)]	[STD DEV]
1	inf	28.16	80.0998
1	inf	28.16	80.0998
2	inf	28.16	80.0998
4	inf	28.16	80.0998
4	inf	28.16	80.0998
5	inf	25.60	76.8000
5	inf	28.16	80.0998
7	inf	25.60	76.8000
8	inf	29.44	81.6696
11	inf	29.44	81.6696
13	inf	28.16	80.0998
16	inf	26.88	78.4777
19	inf	28.16	80.0998
29	inf	25.60	76.8000
32	inf	26.88	78.4777
35	inf	28.16	80.0998
61	inf	28.16	80.0998
64	inf	26.88	78.4777
67	inf	21.76	71.3937
125	inf	29.44	81.6696
128	inf	30.72	83.1902
131	inf	32.00	84.6640
253	inf	32.00	84.6640
256	inf	28.16	80.0998
259	inf	30.72	83.1902
509	inf	33.28	86.0937
512	inf	33.28	86.0937
515	inf	34.56	87.4812
1021	inf	40.96	93.8512
1024	inf	35.84	88.8287
1027	inf	38.40	91.4103
2045	inf	46.08	98.3520
2048	inf	44.80	97.2716
2051	inf	51.20	102.4000
4093	inf	78.08	117.8643
4096	inf	79.36	118.3983
4099	inf	62.72	110.1023
8189	inf	87.04	121.2694
8192	inf	87.04	121.2694
8195	inf	87.04	121.2694
16381	inf	222.72	86.0937
16384	inf	225.28	94.2692
16387	inf	224.00	84.6640
32765	196.42	1342.72	110.1023
32768	192.59	1386.24	307.4959
32771	194.75	1355.52	116.7469
65533	187.66	2795.52	69.4511
65536	186.54	2812.16	65.1544
65539	186.80	2808.32	62.2349
131069	183.38	5754.88	762.4160
131072	182.02	5799.68	781.3653
131075	182.37	5817.60	1173.6804
262141	182.96	11613.44	1935.1598
262144	183.69	11531.52	1637.2591
262147	184.14	11541.76	1946.0677
524285	184.88	22769.92	1702.7748
524288	182.95	23034.88	1960.5255
524291	184.74	22786.56	1693.6659
1048573	152.65	55031.04	2293.9339
1048576	153.41	54713.60	1429.6947
1048579	153.04	54868.48	1931.9284
2097149	107.94	155513.60	3755.1751
2097152	108.26	155048.96	3518.7142
2097155	107.88	155608.32	3939.3316
4194301	107.74	311586.56	6640.4089
4194304	108.14	310370.56	4914.2451
4194307	108.23	310112.00	4861.7384
8388605	103.46	648714.24	8028.0735
8388608	103.65	647710.72	13263.4823
8388611	103.13	650828.80	9392.5141
16777213	52.41	2561040.64	26770.7228
16777216	53.74	2498649.60	49088.3104
16777219	53.03	2531019.52	25971.3772
33554429	43.80	6128390.40	33503.5391
33554432	43.77	6133346.56	24378.1325
33554435	43.79	6129788.16	30519.5699
67108861	42.32	12685425.92	53665.9029
67108864	42.37	12670933.76	41268.2146
67108867	42.37	12671010.56	34957.7039
