
# [SIZE (B)]	[BANDWIDTH (Gb/s)]	[AVERAGE TIME (nsec)]	[STD DEV]
1	inf	23.04	73.2625
1	inf	33.28	86.0937
2	inf	30.72	83.1902
4	inf	20.48	69.4511
4	inf	29.44	81.6696
5	inf	29.44	81.6696
5	inf	29.44	81.6696
7	inf	29.44	81.6696
8	inf	30.72	83.1902
11	inf	28.16	80.0998
13	inf	29.44	81.6696
16	inf	29.44	81.6696
19	inf	30.72	83.1902
29	inf	28.16	80.0998
32	inf	29.44	81.6696
35	inf	33.28	86.0937
61	inf	30.72	83.1902
64	inf	28.16	80.0998
67	inf	29.44	81.6696
125	inf	32.00	84.6640
128	inf	28.16	80.0998
131	inf	35.84	88.8287
253	inf	30.72	83.1902
256	inf	20.48	69.4511
259	inf	37.12	90.1378
509	inf	34.56	87.4812
512	inf	44.80	97.2716
515	inf	32.00	84.6640
1021	inf	39.68	92.6476
1024	inf	40.96	93.8512
1027	inf	39.68	92.6476
2045	inf	52.48	103.3476
2048	inf	49.92	101.4274
2051	inf	93.44	618.7460
4093	inf	71.68	114.9437
4096	inf	76.80	117.3139
4099	inf	117.76	127.5897
8189	inf	198.40	106.9011
8192	inf	199.68	106.0471
8195	inf	198.40	106.9011
16381	417.20	350.72	123.5979
16384	416.00	352.00	123.9355
16387	418.64	349.44	123.2461
32765	240.62	1100.80	117.3139
32768	245.76	1075.20	102.4000
32771	242.45	1091.84	112.9813
65533	199.32	2635.52	119.5207
65536	198.49	2647.04	123.9421
65539	197.18	2664.96	125.9093
131069	195.38	5368.32	95.4780
131072	188.90	5565.44	370.3073
131075	192.35	5512.96	1106.7012
262141	175.18	12051.20	1424.1834
262144	174.59	12090.88	1413.5072
262147	175.52	11974.40	759.1760
524285	180.36	23320.32	1473.8571
524288	171.80	24469.76	1438.9107
524291	172.89	24281.60	838.0824
1048573	181.22	46375.68	2192.0683
1048576	167.07	50352.64	2985.1609
1048579	174.33	48231.68	2608.0731
2097149	121.99	137598.72	3314.0876
2097152	115.11	146071.04	7126.7931
2097155	121.66	138008.32	3980.0054
4194301	114.26	293740.80	4380.6259
4194304	114.76	292407.04	1538.3188
4194307	114.66	292668.16	2114.2838
8388605	110.87	605324.80	3519.1155
8388608	110.96	604806.40	1772.1298
8388611	110.82	605747.20	10713.2253
16777213	92.43	1452160.00	9207.7830
16777216	92.36	1453346.56	16192.4134
16777219	92.52	1450757.12	7457.9509
33554429	46.37	5789574.40	18740.8076
33554432	44.52	6029893.12	18780.9408
33554435	44.53	6028898.56	16149.0286
67108861	46.23	11612412.16	53159.0425
67108864	44.45	12079104.00	31854.1161
67108867	44.45	12078023.68	31772.3245
