# [SIZE (B)]	[BANDWIDTH (Gb/s)]	[AVERAGE TIME (nsec)]	[STD DEV]
1	inf	21.76	71.3937
2	inf	30.72	83.1902
4	inf	21.76	71.3937
5	inf	25.60	76.8000
8	inf	34.56	87.4812
11	inf	30.72	83.1902
13	inf	29.44	81.6696
16	inf	25.60	76.8000
19	inf	34.56	87.4812
29	inf	30.72	83.1902
32	inf	30.72	83.1902
35	inf	34.56	87.4812
61	inf	34.56	87.4812
64	inf	24.32	75.0630
67	inf	28.16	80.0998
125	inf	26.88	78.4777
128	inf	30.72	83.1902
131	inf	29.44	81.6696
253	inf	37.12	90.1378
256	inf	38.40	91.4103
259	inf	32.00	84.6640
509	inf	29.44	81.6696
512	inf	43.52	96.1620
515	inf	37.12	90.1378
1021	inf	37.12	90.1378
1024	inf	43.52	96.1620
1027	inf	38.40	91.4103
2045	inf	52.48	103.3476
2048	inf	47.36	99.4042
2051	inf	53.76	104.2709
4093	inf	74.24	116.1631
4096	inf	71.68	114.9437
4099	inf	62.72	110.1023
8189	inf	81.92	119.4179
8192	inf	78.08	117.8643
8195	inf	84.48	120.3745
16381	inf	208.64	99.4042
16384	inf	209.92	116.6416
16387	inf	221.44	87.4812
32765	162.10	1672.96	779.8037
32768	162.77	1619.20	122.6064
32771	163.25	1614.08	117.8643
65533	155.90	3365.12	90.1378
65536	154.58	3395.84	121.3707
65539	155.18	3381.76	104.2709
131069	160.47	6574.08	832.5945
131072	151.79	6946.56	811.8379
131075	156.74	6848.00	2048.4400
262141	160.60	13187.84	1829.4559
262144	158.48	13273.60	940.8653
262147	159.08	13258.24	1434.8771
524285	167.78	25058.56	1513.6892
524288	162.31	25876.48	1098.2251
524291	162.79	25873.92	2117.3088
1048573	153.69	54663.68	2355.8830
1048576	141.54	59366.40	2586.4870
1048579	148.20	56683.52	2340.0361
2097149	106.55	157464.32	1063.7401
2097152	104.43	160747.52	4006.5726
2097155	106.55	157461.76	1059.4743
4194301	106.11	316270.08	3918.5155
4194304	106.41	315347.20	1121.2793
4194307	106.39	315392.00	1306.8543
8388605	100.86	665404.16	2972.5753
8388608	101.27	662716.16	5464.6543
8388611	100.95	664819.20	3366.8380
16777213	51.98	2582408.96	15080.2010
16777216	53.10	2528400.64	37662.6777
16777219	52.24	2569104.64	14100.2694
33554429	44.22	6070461.44	16561.4439
33554432	44.19	6074361.60	20031.0543
33554435	44.25	6066620.16	19720.0852
67108861	42.80	12544738.56	33927.7195
67108864	42.80	12542676.48	22969.8789
67108867	42.81	12542144.00	33523.9673
