# [SIZE (B)]	[BANDWIDTH (Gb/s)]	[AVERAGE TIME (nsec)]	[STD DEV]
1	inf	23.04	73.2625
4	inf	25.60	76.8000
5	inf	26.88	78.4777
5	inf	28.16	80.0998
7	inf	26.88	78.4777
8	inf	25.60	76.8000
11	inf	28.16	80.0998
13	inf	26.88	78.4777
16	inf	26.88	78.4777
19	inf	33.28	86.0937
29	inf	30.72	83.1902
32	inf	29.44	81.6696
35	inf	30.72	83.1902
61	inf	28.16	80.0998
64	inf	30.72	83.1902
67	inf	35.84	88.8287
128	inf	35.84	88.8287
131	inf	30.72	83.1902
253	inf	28.16	80.0998
256	inf	33.28	86.0937
259	inf	33.28	86.0937
509	inf	28.16	80.0998
512	inf	34.56	87.4812
515	inf	33.28	86.0937
1021	inf	38.40	91.4103
1024	inf	40.96	93.8512
1027	inf	40.96	93.8512
2045	inf	47.36	99.4042
2048	inf	48.64	100.4290
2051	inf	53.76	104.2709
4093	inf	69.12	113.6536
4096	inf	71.68	114.9437
8189	inf	200.96	105.1705
8192	inf	199.68	106.0471
8195	inf	198.40	106.9011
16381	428.72	339.20	119.9040
16384	418.56	349.44	123.2461
16387	427.60	340.48	120.3745
32765	231.94	1167.36	410.1117
32768	232.53	1141.76	130.1326
32771	235.03	1128.96	125.9093
65533	181.83	2887.68	114.9437
65536	180.05	2917.12	125.1458
65539	180.99	2973.44	1192.4428
131069	170.56	6309.12	1804.1912
131072	161.81	6516.48	779.7701
131075	161.84	6583.04	1434.6002
262141	166.82	12650.24	1440.9588
262144	166.00	12710.40	1425.7499
262147	167.25	12565.76	784.3706
524285	173.21	24276.48	1447.7270
524288	164.31	25644.80	2153.9685
524291	167.08	25175.04	1713.5639
1048573	177.19	47413.76	2018.9281
1048576	165.25	50819.84	1821.3779
1048579	170.59	49248.00	2101.6084
2097149	121.25	138389.76	1537.1255
2097152	113.17	148430.08	5317.0219
2097155	120.57	139200.00	2590.3797
4194301	113.68	295162.88	1278.7091
4194304	113.68	295174.40	1225.7128
4194307	113.69	295136.00	1132.7638
8388605	109.96	610336.00	2256.1339
8388608	109.92	610520.32	3625.0990
8388611	109.98	610197.76	1685.1875
16777213	90.79	1478321.92	5598.7497
16777216	90.64	1481184.00	24646.2454
16777219	90.87	1477064.96	3374.9187
33554429	46.31	5796584.96	24524.5220
33554432	44.37	6050163.20	24117.1396
33554435	44.38	6048080.64	28626.9999
67108861	46.20	11620249.60	20589.1810
67108864	44.34	12107854.08	32294.6937
67108867	44.33	12109556.48	32262.7579
