[SIZE (B)]	[BANDWIDTH (Gb/s)]	[AVERAGE TIME (nsec)]	[STD DEV]
1	0.00	8983.04	1230.2720
4	0.00	8952.32	1198.2632
2	0.00	8986.45	1364.4101
5	0.00	8793.60	948.4964
4	0.00	8776.53	907.8580
7	0.01	8712.53	358.2984
1	0.00	8737.28	1152.2778
8	0.01	8560.64	499.0184
11	0.01	8586.24	452.3117
5	0.00	8548.69	156.1297
16	0.02	8571.73	1095.4204
19	0.02	8490.67	809.7679
13	0.01	8473.60	636.5775
32	0.03	8550.40	1213.4148
35	0.03	8555.52	1486.0559
29	0.03	8377.17	645.2752
64	0.06	8435.20	1034.0045
67	0.06	8358.40	149.4552
61	0.06	8502.61	1265.7853
128	0.12	8482.99	978.7771
131	0.12	8428.37	643.1049
125	0.12	8325.97	297.3851
256	0.24	8445.44	829.6625
259	0.25	8468.48	666.2692
253	0.24	8564.91	1111.8023
512	0.48	8605.01	918.8875
515	0.48	8590.51	647.9779
509	0.47	8631.47	957.2845
1024	0.94	8795.31	995.9723
1027	0.93	8810.67	627.9252
1021	0.93	8850.77	1193.0247
2048	1.79	9158.83	237.4215
2051	1.80	9142.61	171.9504
2045	1.78	9195.52	257.7349
4096	3.26	10050.56	291.7801
4099	3.22	10178.56	185.0297
4093	3.26	10051.41	166.0364
8192	5.92	11081.39	503.6865
8195	5.88	11147.95	297.2051
8189	5.96	10997.76	272.3404
16384	10.10	12987.73	434.6140
16387	10.08	13012.48	324.6022
16381	10.15	12917.76	254.5109
32768	16.32	16124.59	1234.1171
32771	16.36	16064.85	1018.1965
32765	16.38	16048.64	1136.4564
65536	18.90	27910.83	2443.4163
65539	18.93	27854.51	2279.8275
65533	19.23	27461.12	2646.6459
131072	26.15	40246.61	2618.3993
131075	26.04	40405.33	2514.9602
131069	26.15	40215.04	2389.1156
262144	32.24	65182.72	3065.5463
262147	33.26	63254.19	3719.0186
262141	32.44	64752.64	2861.9731
524288	35.90	117014.19	4811.9772
524291	35.87	117182.29	5658.1451
524285	36.02	116604.59	4593.4929
1048576	37.88	221745.49	8242.0178
1048579	37.98	221120.00	7487.6426
1048573	38.12	220293.12	7082.8139
2097152	38.90	431581.01	11808.0436
2097155	39.07	429747.20	11357.2191
2097149	27.32	733238.61	293184.8843
4194304	18.11	1859666.77	116085.1655
4194307	18.33	1838742.19	123919.8357
4194301	18.60	1812665.17	127437.6246
8388608	19.51	3446049.28	137892.1640
8388611	19.51	3444835.84	140905.4196
8388605	19.53	3441043.63	134753.7176
16777216	20.46	6565015.89	150473.6514
16777219	57.43	2338711.89	62622.1463
16777213	20.49	6555691.52	171075.5331
