# [SIZE (B)]	[BANDWIDTH (Gb/s)]	[AVERAGE TIME (nsec)]	[STD DEV]
1	0.00	8149.33	4455.2255
4	0.00	6894.93	2527.3077
2	0.00	6161.07	515.9669
5	0.01	6169.60	802.3603
4	0.01	6109.87	515.1194
7	0.01	6263.47	738.2196
1	0.00	6237.87	688.4555
8	0.01	6144.00	612.9761
11	0.01	6289.07	461.1949
5	0.01	6203.73	535.7003
16	0.02	6280.53	663.4084
19	0.02	6323.20	859.6672
13	0.02	6220.80	671.3190
32	0.04	6280.53	669.9618
35	0.04	6365.87	789.6907
29	0.04	6246.40	636.0626
64	0.08	6357.33	557.2861
67	0.08	6493.87	900.2161
61	0.08	6323.20	617.0609
128	0.15	6843.73	1142.8297
131	0.16	6562.13	772.2077
125	0.15	8593.07	11440.9726
256	0.31	6621.87	732.2773
259	0.30	6920.53	1012.1627
253	0.31	6647.47	783.4418
512	0.58	8285.87	6932.0348
515	0.61	6843.73	657.4544
509	0.59	6920.53	707.2378
1024	1.09	8516.27	6437.7539
1027	1.07	8081.07	2531.4101
1021	1.11	7381.33	602.4920
2048	1.90	10453.33	10657.5321
2051	1.98	8354.13	808.1477
2045	1.91	8814.93	1808.6037
4096	2.86	12757.33	7311.9514
4099	2.98	11272.53	1979.0896
4093	2.89	11733.33	2857.6476
8192	5.05	13431.47	2902.1364
8195	4.87	14208.00	4044.8810
8189	5.03	13448.53	2707.4211
16384	8.52	16896.00	7863.2710
16387	10.33	12876.80	1918.1787
16381	8.60	16153.60	4232.0602
32768	15.76	16759.47	1632.1659
32771	15.78	16861.87	2457.0073
32765	15.81	16725.33	1744.2267
65536	21.53	24448.00	1675.7737
65539	21.51	24516.27	2191.9375
65533	21.63	24371.20	2050.5584
131072	25.54	45781.33	30778.9006
131075	25.70	41122.13	4016.5540
131069	26.13	40251.73	2313.1630
262144	28.72	73028.27	1174.8761
262147	28.95	72473.60	1338.9722
262141	28.76	72934.40	1237.2156
524288	29.82	144657.07	36487.4956
524291	30.50	137531.73	1319.8008
524285	30.32	138368.00	2487.0678
1048576	31.00	276864.00	61029.7324
1048579	31.59	265531.73	1331.3367
1048573	31.59	265565.87	1401.3646
2097152	31.57	543360.00	117512.6027
2097155	32.13	522240.00	6314.4360
2097149	32.19	521207.47	2087.5994
4194304	31.84	1076352.00	224904.8294
4194307	32.49	1032814.93	4502.3423
