# [SIZE (B)]	[BANDWIDTH (Gb/s)]	[AVERAGE TIME (nsec)]	[STD DEV]
1	0.00	7808.00	5301.0135
4	0.01	6698.67	2931.6068
2	0.00	5794.13	352.7685
5	0.01	6280.53	1279.5448
4	0.01	6237.87	1406.0334
7	0.01	5930.67	508.0738
1	0.00	5913.60	430.1511
8	0.01	5939.20	546.6664
11	0.01	5973.33	468.9453
5	0.01	5896.53	474.2722
16	0.02	6024.53	502.2358
19	0.03	5819.73	428.0298
13	0.02	6007.47	335.3068
32	0.04	6101.33	565.0716
35	0.05	6109.87	714.1538
29	0.04	6041.60	522.9757
64	0.09	5981.87	445.7799
67	0.09	6092.80	588.9855
61	0.08	6067.20	508.3604
128	0.16	6519.47	1180.0708
131	0.15	7057.07	555.7159
125	0.16	6289.07	575.0352
256	0.29	7133.87	451.8640
259	0.28	7389.87	903.2444
253	0.26	10069.33	11879.8589
512	0.51	9036.80	3868.4246
515	0.52	10265.60	11457.6994
509	0.51	8627.20	3265.1459
1024	1.04	7901.87	567.5789
1027	1.06	7816.53	555.9124
1021	1.04	7850.67	496.1089
2048	1.60	13038.93	11759.4659
2051	1.70	10581.33	4170.1729
2045	1.79	9813.33	3666.7526
4096	2.99	12834.13	10354.7139
4099	2.97	11690.67	3748.6497
4093	2.95	12245.33	5694.9053
8192	5.10	15607.47	13654.5839
8195	5.32	13252.27	5280.7546
8189	5.25	13388.80	4665.0805
16384	8.53	17962.67	12163.8319
16387	9.27	15010.13	5094.1141
16381	8.81	15914.67	5347.1054
32768	14.78	18030.93	2768.8135
32771	14.31	19020.80	4670.6964
32765	14.55	18884.27	5769.8271
65536	20.44	25924.27	3062.6941
65539	20.23	26385.07	4014.0785
65533	20.24	26453.33	4770.7363
131072	24.91	49134.93	43929.9249
131075	25.20	41915.73	3949.8919
131069	25.32	41710.93	3902.0387
262144	28.42	73915.73	3267.0076
262147	27.92	75528.53	6237.3297
262141	28.39	74188.80	5446.0052
524288	30.12	144264.53	42862.8781
524291	30.54	137429.33	3243.6209
524285	30.38	138385.07	7297.4770
1048576	31.46	273945.60	67276.2399
1048579	31.98	262442.67	6053.7670
1048573	32.03	261998.93	5809.4455
2097152	32.20	533307.73	118561.0539
2097155	32.84	510865.07	1449.1851
2097149	32.86	510583.47	1633.5038
4194304	32.40	1056469.33	212311.6836
4194307	33.01	1016362.67	2918.9115
4194301	32.93	1019315.20	19378.0502

