[SIZE (B)]	[BANDWIDTH (Gb/s)]	[AVERAGE TIME (nsec)]	[STD DEV]
1	0.00	4369.56	329.3395
1	0.00	4370.82	360.6265
2	0.00	4373.35	374.3435
4	0.01	4369.04	331.5190
4	0.01	4370.15	323.8590
5	0.01	4370.50	333.8957
5	0.01	4373.54	411.7114
7	0.01	4370.50	335.5361
8	0.01	4377.19	2584.6535
11	0.02	4371.32	337.3579
13	0.02	4370.21	332.1646
16	0.03	4370.30	328.7932
19	0.03	4382.72	335.7164
29	0.05	4383.12	329.8524
32	0.06	4382.51	330.3639
35	0.06	4396.49	336.4933
61	0.11	4414.00	336.5193
64	0.12	4410.80	321.4909
67	0.12	4425.30	333.2380
125	0.23	4459.14	342.7191
128	0.23	4459.92	331.0391
131	0.24	4472.03	341.5585
253	0.45	4549.59	341.6185
256	0.45	4549.22	342.3015
259	0.46	4567.79	1708.0749
509	0.87	4684.72	407.0824
512	0.88	4683.00	334.4154
515	0.88	4691.81	409.7902
1021	1.66	4936.54	338.5999
1024	1.67	4935.77	365.7145
1027	1.67	4943.86	351.3080
2045	3.01	5443.92	348.3280
2048	3.02	5441.95	345.7696
2051	3.01	5464.70	348.4816
4093	5.59	5882.78	2056.1329
4096	5.59	5876.59	390.5006
4099	5.56	5919.67	374.9569
8189	9.78	6714.17	399.7335
8192	9.77	6726.62	413.6166
8195	9.78	6724.32	394.7996
16381	15.49	8524.80	776.9083
16384	14.29	12032.00	13993.7821
16387	15.64	8908.80	2942.2557
32765	23.20	12339.20	5073.4524
32768	23.92	11357.87	2709.6390
32771	23.41	11835.73	3583.1974
65533	31.66	16989.87	3212.7632
65536	31.77	16708.27	2089.1162
65539	31.65	17006.93	3294.1430
131069	39.44	26666.67	1648.6126
131072	39.16	27042.13	3253.3047
131075	39.43	26666.67	1476.6612
262141	44.72	46899.20	223.1756
262144	44.43	47223.47	1168.9109
262147	44.09	47735.47	3105.7582
524285	47.38	88533.33	549.3903
524288	47.23	88840.53	1881.7693
524291	47.36	88567.47	550.9785
1048573	48.74	172142.93	1877.3527
1048576	48.87	171665.07	632.9065
1048579	48.74	172117.33	1670.0063
2097149	49.60	338278.40	2004.4435
2097152	49.59	338321.07	593.7263
2097155	49.64	337979.73	735.1059
4194301	50.02	670796.80	627.5917
4194304	49.95	671735.47	5425.9453
4194307	50.01	671010.13	479.9953
