[SIZE (B)]	[BANDWIDTH (Gb/s)]	[AVERAGE TIME (nsec)]	[STD DEV]
1	0.00	3793.07	342.0941 	 300000
1	0.00	3816.54	1220.3379 	 300000
2	0.00	3789.94	1197.9733 	 300000
4	0.01	3787.19	337.1929 	 300000
4	0.01	3790.92	1543.0652 	 300000
5	0.01	3793.40	374.2908 	 300000
5	0.01	3794.14	350.9851 	 300000
7	0.01	3792.35	330.6936 	 300000
8	0.02	3796.56	1981.0250 	 300000
11	0.02	3792.70	336.1225 	 300000
13	0.03	3794.12	335.1498 	 300000
16	0.03	3792.89	332.5094 	 300000
19	0.04	3797.87	1635.0308 	 300000
29	0.06	3823.61	1978.1929 	 300000
32	0.07	3821.24	341.2337 	 300000
35	0.07	3822.56	340.9537 	 300000
61	0.13	3860.33	329.4524 	 300000
64	0.13	3860.19	326.4181 	 300000
67	0.14	3860.01	320.9268 	 300000
125	0.26	3927.50	329.8999 	 300000
128	0.26	3928.11	334.5014 	 300000
131	0.24	4452.52	1653.0274 	 300000
253	0.45	4522.06	1180.3651 	 300000
256	0.46	4518.89	340.5573 	 300000
259	0.46	4533.36	362.4284 	 300000
509	0.88	4649.34	339.8275 	 300000
512	0.88	4651.04	346.4231 	 300000
515	0.89	4653.07	339.8951 	 300000
1021	1.67	4911.56	341.8483 	 300000
1024	1.67	4916.04	2061.9459 	 300000
1027	1.68	4915.89	336.3531 	 300000
2045	3.03	5413.56	338.0280 	 300000
2048	3.04	5412.15	356.3502 	 300000
2051	3.02	5455.27	2142.9832 	 300000
4093	5.62	5843.87	350.6833 	 300000
4096	5.62	5844.05	431.6049 	 300000
4099	5.58	5893.42	1027.6145 	 300000
8189	9.89	6644.39	1648.0097 	 300000
8192	9.89	6644.90	428.5510 	 300000
8195	9.87	6660.47	361.7738 	 300000
16381	16.10	8157.87	411.3739 	 30
16384	15.59	8678.40	2156.4360 	 30
16387	16.74	8046.93	1977.1017 	 30
32765	24.41	10922.67	1750.4777 	 30
32768	24.52	11281.07	4408.3236 	 30
32771	24.27	11076.27	2246.3261 	 30
65533	32.46	16409.60	2547.4680 	 30
65536	32.69	16512.00	4229.1686 	 30
65539	32.29	16460.80	2338.0243 	 30
131069	39.44	26786.13	2694.2775 	 30
131072	39.69	26513.07	1813.4287 	 30
131075	39.52	26734.93	2710.6063 	 30
262141	44.54	47112.53	1317.8130 	 30
262144	44.57	47086.93	1368.9552 	 30
262147	44.61	47035.73	1200.6251 	 30
524285	47.46	88371.20	370.3899 	 30
524288	47.37	88541.87	656.7896 	 30
524291	47.36	88567.47	766.5290 	 30
1048573	48.96	171332.27	438.1183 	 30
1048576	48.94	171392.00	670.0161 	 30
1048579	48.94	171417.60	465.5166 	 30
2097149	49.71	337484.80	748.2619 	 30
2097152	49.71	337476.27	647.4096 	 30
2097155	49.69	337638.40	914.3418 	 30
4194301	50.11	669653.33	1402.2996 	 30
4194304	50.09	669883.73	3019.5945 	 30
4194307	50.09	669926.40	967.7342 	 30
