# [SIZE (B)]	[BANDWIDTH (Gb/s)]	[AVERAGE TIME (nsec)]	[STD DEV]
1	inf	25.60	76.8000
4	inf	34.13	87.0233
2	inf	42.67	95.4056
5	inf	25.60	76.8000
4	inf	25.60	76.8000
7	inf	34.13	87.0233
1	inf	34.13	87.0233
8	inf	42.67	95.4056
11	inf	34.13	87.0233
5	inf	34.13	87.0233
16	inf	25.60	76.8000
19	inf	42.67	95.4056
13	inf	34.13	87.0233
32	inf	42.67	95.4056
35	inf	42.67	95.4056
29	inf	34.13	87.0233
64	inf	25.60	76.8000
67	inf	34.13	87.0233
61	inf	25.60	76.8000
128	inf	42.67	95.4056
131	inf	34.13	87.0233
125	inf	25.60	76.8000
256	inf	42.67	95.4056
259	inf	42.67	95.4056
253	inf	59.73	108.2759
512	inf	59.73	108.2759
515	inf	51.20	102.4000
509	inf	51.20	102.4000
1024	inf	59.73	108.2759
1027	inf	59.73	108.2759
1021	inf	68.27	113.2075
2048	inf	110.93	126.8571
2051	inf	51.20	102.4000
2045	inf	110.93	126.8571
4096	inf	119.47	127.7152
4099	inf	153.60	125.4139
4093	inf	153.60	125.4139
8192	inf	238.93	91.9068
8195	inf	238.93	63.8576
8189	inf	230.40	76.8000
16384	285.01	503.47	168.3036
16387	264.58	503.47	45.9534
16381	255.95	512.00	0.0000
32768	155.48	1715.20	257.2768
32771	164.18	1604.27	113.2075
32765	169.84	1544.53	45.9534
65536	160.88	3285.33	337.5794
65539	168.92	3106.13	87.0233
65533	170.66	3072.00	0.0000
131072	152.58	6920.53	672.4028
131075	153.70	7133.87	2484.4167
131069	159.65	6570.67	137.5959
262144	74.03	28458.67	2247.4441
262147	72.64	29056.00	2658.5819
262141	73.12	28680.53	168.3036
524288	64.64	64904.53	990.8960
524291	64.79	64742.40	202.1157
524285	64.40	65228.80	2747.9983
1048576	69.14	121326.93	846.3071
1048579	69.24	121164.80	779.7151
1048573	71.60	117358.93	4953.7525
2097152	73.33	228804.27	2595.3260
2097155	77.38	216832.00	787.6595
2097149	79.32	211669.33	5970.9252
4194304	82.98	404539.73	8643.2220
4194307	86.18	389469.87	6301.0968
4194301	89.97	373000.53	3269.3805
