# [SIZE (B)]	[BANDWIDTH (Gb/s)]	[AVERAGE TIME (nsec)]	[STD DEV]
1	inf	85.33	120.6796
4	inf	42.67	95.4056
2	inf	59.73	108.2759
5	inf	42.67	95.4056
4	inf	0.00	0.0000
7	inf	25.60	76.8000
1	inf	17.07	63.8576
8	inf	34.13	87.0233
11	inf	68.27	113.2075
5	inf	8.53	45.9534
16	inf	0.00	0.0000
19	inf	51.20	102.4000
13	inf	59.73	108.2759
32	inf	76.80	117.3139
35	inf	68.27	113.2075
29	inf	51.20	102.4000
64	inf	68.27	113.2075
67	inf	59.73	108.2759
61	inf	76.80	117.3139
128	inf	59.73	108.2759
131	inf	93.87	123.3650
125	inf	34.13	87.0233
256	inf	42.67	95.4056
259	inf	34.13	87.0233
253	inf	34.13	87.0233
512	inf	51.20	102.4000
515	inf	51.20	102.4000
509	inf	59.73	108.2759
1024	inf	59.73	108.2759
1027	inf	59.73	108.2759
1021	inf	93.87	123.3650
2048	inf	76.80	117.3139
2051	inf	93.87	123.3650
2045	inf	93.87	123.3650
4096	inf	145.07	126.8571
4099	inf	162.13	123.3650
4093	inf	145.07	126.8571
8192	247.47	273.07	63.8576
8195	243.29	281.60	76.8000
8189	255.91	256.00	0.0000
16384	228.98	597.33	137.5959
16387	221.91	614.40	125.4139
16381	233.56	947.20	2108.0788
32768	141.41	1860.27	113.2075
32771	158.49	1664.00	128.0000
32765	167.40	1570.13	87.0233
65536	153.09	3430.40	141.7664
65539	164.55	3191.47	127.7152
65533	168.03	3123.20	102.4000
131072	146.12	7185.07	255.4305
131075	152.37	6886.40	179.2000
131069	156.76	6690.13	87.0233
262144	88.04	24157.87	3413.2160
262147	89.18	23517.87	171.5179
262141	86.59	24371.20	2320.4391
524288	66.97	62677.33	1819.9221
524291	67.36	62267.73	170.8799
524285	67.09	62540.80	1182.6904
1048576	71.30	117785.60	4324.4808
1048579	71.70	117009.07	969.0501
1048573	72.17	116369.07	4060.4771
2097152	75.98	220817.07	1434.0317
2097155	79.15	212096.00	5148.4012
2097149	80.94	207402.67	5292.0772
4194304	85.23	393890.13	8713.6532
4194307	88.70	378453.33	7643.8855
4194301	91.91	365312.00	9361.1094
	
