## HUB

 - * - * - * - * - PUT - * - * - * - * -
[SIZE (B)]	[BANDWIDTH (Gb/s)]	[AVERAGE TIME (nsec)]	[STD DEV]
1	0.00	7808.00	5301.0135
4	0.01	6698.67	2931.6068
2	0.00	5794.13	352.7685
5	0.01	6280.53	1279.5448
4	0.01	6237.87	1406.0334
7	0.01	5930.67	508.0738
1	0.00	5913.60	430.1511
8	0.01	5939.20	546.6664
11	0.01	5973.33	468.9453
5	0.01	5896.53	474.2722
16	0.02	6024.53	502.2358
19	0.03	5819.73	428.0298
13	0.02	6007.47	335.3068
32	0.04	6101.33	565.0716
35	0.05	6109.87	714.1538
29	0.04	6041.60	522.9757
64	0.09	5981.87	445.7799
67	0.09	6092.80	588.9855
61	0.08	6067.20	508.3604
128	0.16	6519.47	1180.0708
131	0.15	7057.07	555.7159
125	0.16	6289.07	575.0352
256	0.29	7133.87	451.8640
259	0.28	7389.87	903.2444
253	0.26	10069.33	11879.8589
512	0.51	9036.80	3868.4246
515	0.52	10265.60	11457.6994
509	0.51	8627.20	3265.1459
1024	1.04	7901.87	567.5789
1027	1.06	7816.53	555.9124
1021	1.04	7850.67	496.1089
2048	1.60	13038.93	11759.4659
2051	1.70	10581.33	4170.1729
2045	1.79	9813.33	3666.7526
4096	2.99	12834.13	10354.7139
4099	2.97	11690.67	3748.6497
4093	2.95	12245.33	5694.9053
8192	5.10	15607.47	13654.5839
8195	5.32	13252.27	5280.7546
8189	5.25	13388.80	4665.0805
16384	8.53	17962.67	12163.8319
16387	9.27	15010.13	5094.1141
16381	8.81	15914.67	5347.1054
32768	14.78	18030.93	2768.8135
32771	14.31	19020.80	4670.6964
32765	14.55	18884.27	5769.8271
65536	20.44	25924.27	3062.6941
65539	20.23	26385.07	4014.0785
65533	20.24	26453.33	4770.7363
131072	24.91	49134.93	43929.9249
131075	25.20	41915.73	3949.8919
131069	25.32	41710.93	3902.0387
262144	28.42	73915.73	3267.0076
262147	27.92	75528.53	6237.3297
262141	28.39	74188.80	5446.0052
524288	30.12	144264.53	42862.8781
524291	30.54	137429.33	3243.6209
524285	30.38	138385.07	7297.4770
1048576	31.46	273945.60	67276.2399
1048579	31.98	262442.67	6053.7670
1048573	32.03	261998.93	5809.4455
2097152	32.20	533307.73	118561.0539
2097155	32.84	510865.07	1449.1851
2097149	32.86	510583.47	1633.5038
4194304	32.40	1056469.33	212311.6836
4194307	33.01	1016362.67	2918.9115
4194301	32.93	1019315.20	19378.0502


 - * - * - * - * - GET - * - * - * - * -
[SIZE (B)]	[BANDWIDTH (Gb/s)]	[AVERAGE TIME (nsec)]	[STD DEV]
1	0.00	8149.33	4455.2255
4	0.00	6894.93	2527.3077
2	0.00	6161.07	515.9669
5	0.01	6169.60	802.3603
4	0.01	6109.87	515.1194
7	0.01	6263.47	738.2196
1	0.00	6237.87	688.4555
8	0.01	6144.00	612.9761
11	0.01	6289.07	461.1949
5	0.01	6203.73	535.7003
16	0.02	6280.53	663.4084
19	0.02	6323.20	859.6672
13	0.02	6220.80	671.3190
32	0.04	6280.53	669.9618
35	0.04	6365.87	789.6907
29	0.04	6246.40	636.0626
64	0.08	6357.33	557.2861
67	0.08	6493.87	900.2161
61	0.08	6323.20	617.0609
128	0.15	6843.73	1142.8297
131	0.16	6562.13	772.2077
125	0.15	8593.07	11440.9726
256	0.31	6621.87	732.2773
259	0.30	6920.53	1012.1627
253	0.31	6647.47	783.4418
512	0.58	8285.87	6932.0348
515	0.61	6843.73	657.4544
509	0.59	6920.53	707.2378
1024	1.09	8516.27	6437.7539
1027	1.07	8081.07	2531.4101
1021	1.11	7381.33	602.4920
2048	1.90	10453.33	10657.5321
2051	1.98	8354.13	808.1477
2045	1.91	8814.93	1808.6037
4096	2.86	12757.33	7311.9514
4099	2.98	11272.53	1979.0896
4093	2.89	11733.33	2857.6476
8192	5.05	13431.47	2902.1364
8195	4.87	14208.00	4044.8810
8189	5.03	13448.53	2707.4211
16384	8.52	16896.00	7863.2710
16387	10.33	12876.80	1918.1787
16381	8.60	16153.60	4232.0602
32768	15.76	16759.47	1632.1659
32771	15.78	16861.87	2457.0073
32765	15.81	16725.33	1744.2267
65536	21.53	24448.00	1675.7737
65539	21.51	24516.27	2191.9375
65533	21.63	24371.20	2050.5584
131072	25.54	45781.33	30778.9006
131075	25.70	41122.13	4016.5540
131069	26.13	40251.73	2313.1630
262144	28.72	73028.27	1174.8761
262147	28.95	72473.60	1338.9722
262141	28.76	72934.40	1237.2156
524288	29.82	144657.07	36487.4956
524291	30.50	137531.73	1319.8008
524285	30.32	138368.00	2487.0678
1048576	31.00	276864.00	61029.7324
1048579	31.59	265531.73	1331.3367
1048573	31.59	265565.87	1401.3646
2097152	31.57	543360.00	117512.6027
2097155	32.13	522240.00	6314.4360
2097149	32.19	521207.47	2087.5994
4194304	31.84	1076352.00	224904.8294
4194307	32.49	1032814.93	4502.3423

## shared memory

 - * - * - * - * - PUT - * - * - * - * -
[SIZE (B)]	[BANDWIDTH (Gb/s)]	[AVERAGE TIME (nsec)]	[STD DEV]
1	inf	42.67	95.4056
4	inf	25.60	76.8000
2	inf	25.60	76.8000
5	inf	34.13	87.0233
4	inf	25.60	76.8000
7	inf	25.60	76.8000
1	inf	34.13	87.0233
8	inf	51.20	102.4000
11	inf	25.60	76.8000
5	inf	25.60	76.8000
16	inf	34.13	87.0233
19	inf	34.13	87.0233
13	inf	34.13	87.0233
32	inf	34.13	87.0233
35	inf	42.67	95.4056
29	inf	42.67	95.4056
64	inf	51.20	102.4000
67	inf	34.13	87.0233
61	inf	42.67	95.4056
128	inf	42.67	95.4056
131	inf	76.80	117.3139
125	inf	42.67	95.4056
256	inf	51.20	102.4000
259	inf	59.73	108.2759
253	inf	42.67	95.4056
512	inf	85.33	120.6796
515	inf	68.27	113.2075
509	inf	42.67	95.4056
1024	inf	93.87	123.3650
1027	inf	85.33	120.6796
1021	inf	110.93	126.8571
2048	inf	51.20	102.4000
2051	inf	110.93	126.8571
2045	inf	110.93	126.8571
4096	inf	162.13	123.3650
4099	inf	213.33	116.0659
4093	inf	136.53	127.7152
8192	237.51	298.67	116.0659
8195	237.60	298.67	116.0659
8189	247.38	273.07	63.8576
16384	216.18	648.53	183.8136
16387	216.22	640.00	158.4996
16381	217.56	640.00	171.7300
32768	151.09	1749.33	163.0291
32771	151.79	1740.80	153.6000
32765	154.94	1715.20	210.5850
65536	154.95	3396.27	237.7112
65539	156.17	3370.67	229.7670
65533	158.53	3319.47	214.0149
131072	156.00	6724.27	131.0916
131075	154.07	6818.13	306.3692
131069	155.28	6766.93	334.9809
262144	138.22	15240.53	1174.5041
262147	139.43	15061.33	595.1962
262141	139.48	15052.80	550.6480
524288	123.16	34056.53	154.7806
524291	123.25	34030.93	131.0916
524285	111.31	37768.53	1995.8516
1048576	119.61	70323.20	3705.1670
1048579	118.98	70809.60	4711.8838
1048573	119.84	70135.47	3314.5053
2097152	115.47	145604.27	6566.6814
2097155	117.07	143522.13	5605.7505
2097149	115.98	144878.93	5725.8349
4194304	119.71	280883.20	12937.9067
4194307	120.07	279893.33	11139.6449
4194301	119.77	280473.60	9407.5733


 - * - * - * - * - GET - * - * - * - * -
[SIZE (B)]	[BANDWIDTH (Gb/s)]	[AVERAGE TIME (nsec)]	[STD DEV]
1	inf	51.20	102.4000
4	inf	42.67	95.4056
2	inf	59.73	108.2759
5	inf	59.73	108.2759
4	inf	51.20	102.4000
7	inf	51.20	102.4000
1	inf	68.27	113.2075
8	inf	59.73	108.2759
11	inf	68.27	113.2075
5	inf	76.80	117.3139
16	inf	59.73	108.2759
19	inf	51.20	102.4000
13	inf	51.20	121.8804
32	inf	59.73	126.8571
35	inf	68.27	131.0916
29	inf	59.73	108.2759
64	inf	51.20	102.4000
67	inf	42.67	95.4056
61	inf	59.73	108.2759
128	inf	68.27	113.2075
131	inf	85.33	120.6796
125	inf	34.13	87.0233
256	inf	68.27	113.2075
259	inf	68.27	113.2075
253	inf	51.20	102.4000
512	inf	51.20	102.4000
515	inf	42.67	95.4056
509	inf	85.33	137.5959
1024	inf	85.33	120.6796
1027	inf	76.80	117.3139
1021	inf	59.73	108.2759
2048	inf	128.00	144.0592
2051	inf	110.93	126.8571
2045	inf	102.40	141.7664
4096	125.87	264.53	45.9534
4099	inf	204.80	121.8804
4093	inf	204.80	102.4000
8192	220.44	332.80	134.6537
8195	236.18	307.20	138.6503
8189	217.52	332.80	117.3139
16384	164.12	819.20	138.6503
16387	169.28	793.60	120.9809
16381	178.31	768.00	161.9086
32768	149.40	1783.47	233.5391
32771	149.21	1783.47	223.9898
32765	149.93	1783.47	260.0917
65536	158.16	3345.07	336.6073
65539	160.55	3293.87	322.0132
65533	162.93	3242.67	305.2978
131072	158.74	6647.47	581.8332
131075	159.53	6630.40	678.4403
131069	159.14	6647.47	688.4555
262144	132.65	15837.87	738.2196
262147	132.00	15940.27	1023.8578
262141	131.93	15957.33	1110.6454
524288	120.01	35054.93	2149.9259
524291	117.56	35874.13	2861.2001
524285	111.94	37572.27	2080.4715
1048576	115.36	73011.20	4858.7874
1048579	115.97	72661.33	4953.0469
1048573	110.85	75741.87	2266.4636
2097152	112.18	149742.93	5278.7892
2097155	113.49	148189.87	7192.2586
2097149	114.12	147379.20	7302.1055
4194304	112.32	299187.20	11358.0846
4194307	112.52	298683.73	11940.1308
4194301	111.82	300356.27	8988.2212

## MPI over Infiniband


 - * - * - * - * - PUT - * - * - * - * -
[SIZE (B)]	[BANDWIDTH (Gb/s)]	[AVERAGE TIME (nsec)]	[STD DEV]
1	0.00	3816.54	1220.3379 	 300000
4	0.01	3787.19	337.1929 	 300000
2	0.00	3789.94	1197.9733 	 300000
5	0.01	3794.14	350.9851 	 300000
4	0.01	3790.92	1543.0652 	 300000
7	0.01	3792.35	330.6936 	 300000
1	0.00	3793.07	342.0941 	 300000
8	0.02	3796.56	1981.0250 	 300000
11	0.02	3792.70	336.1225 	 300000
5	0.01	3793.40	374.2908 	 300000
16	0.03	3792.89	332.5094 	 300000
19	0.04	3797.87	1635.0308 	 300000
13	0.03	3794.12	335.1498 	 300000
32	0.07	3821.24	341.2337 	 300000
35	0.07	3822.56	340.9537 	 300000
29	0.06	3823.61	1978.1929 	 300000
64	0.13	3860.19	326.4181 	 300000
67	0.14	3860.01	320.9268 	 300000
61	0.13	3860.33	329.4524 	 300000
128	0.26	3928.11	334.5014 	 300000
131	0.24	4452.52	1653.0274 	 300000
125	0.26	3927.50	329.8999 	 300000
256	0.46	4518.89	340.5573 	 300000
259	0.46	4533.36	362.4284 	 300000
253	0.45	4522.06	1180.3651 	 300000
512	0.88	4651.04	346.4231 	 300000
515	0.89	4653.07	339.8951 	 300000
509	0.88	4649.34	339.8275 	 300000
1024	1.67	4916.04	2061.9459 	 300000
1027	1.68	4915.89	336.3531 	 300000
1021	1.67	4911.56	341.8483 	 300000
2048	3.04	5412.15	356.3502 	 300000
2051	3.02	5455.27	2142.9832 	 300000
2045	3.03	5413.56	338.0280 	 300000
4096	5.62	5844.05	431.6049 	 300000
4099	5.58	5893.42	1027.6145 	 300000
4093	5.62	5843.87	350.6833 	 300000
8192	9.89	6644.90	428.5510 	 300000
8195	9.87	6660.47	361.7738 	 300000
8189	9.89	6644.39	1648.0097 	 300000
16384	15.59	8678.40	2156.4360 	 30
16387	16.74	8046.93	1977.1017 	 30
16381	16.10	8157.87	411.3739 	 30
32768	24.52	11281.07	4408.3236 	 30
32771	24.27	11076.27	2246.3261 	 30
32765	24.41	10922.67	1750.4777 	 30
65536	32.69	16512.00	4229.1686 	 30
65539	32.29	16460.80	2338.0243 	 30
65533	32.46	16409.60	2547.4680 	 30
131072	39.69	26513.07	1813.4287 	 30
131075	39.52	26734.93	2710.6063 	 30
131069	39.44	26786.13	2694.2775 	 30
262144	44.57	47086.93	1368.9552 	 30
262147	44.61	47035.73	1200.6251 	 30
262141	44.54	47112.53	1317.8130 	 30
524288	47.37	88541.87	656.7896 	 30
524291	47.36	88567.47	766.5290 	 30
524285	47.46	88371.20	370.3899 	 30
1048576	48.94	171392.00	670.0161 	 30
1048579	48.94	171417.60	465.5166 	 30
1048573	48.96	171332.27	438.1183 	 30
2097152	49.71	337476.27	647.4096 	 30
2097155	49.69	337638.40	914.3418 	 30
2097149	49.71	337484.80	748.2619 	 30
4194304	50.09	669883.73	3019.5945 	 30
4194307	50.09	669926.40	967.7342 	 30
4194301	50.11	669653.33	1402.2996 	 30


 - * - * - * - * - GET - * - * - * - * -
[SIZE (B)]	[BANDWIDTH (Gb/s)]	[AVERAGE TIME (nsec)]	[STD DEV]
1	0.00	4370.82	360.6265
4	0.01	4369.04	331.5190
2	0.00	4373.35	374.3435
5	0.01	4373.54	411.7114
4	0.01	4370.15	323.8590
7	0.01	4370.50	335.5361
1	0.00	4369.56	329.3395
8	0.01	4377.19	2584.6535
11	0.02	4371.32	337.3579
5	0.01	4370.50	333.8957
16	0.03	4370.30	328.7932
19	0.03	4382.72	335.7164
13	0.02	4370.21	332.1646
32	0.06	4382.51	330.3639
35	0.06	4396.49	336.4933
29	0.05	4383.12	329.8524
64	0.12	4410.80	321.4909
67	0.12	4425.30	333.2380
61	0.11	4414.00	336.5193
128	0.23	4459.92	331.0391
131	0.24	4472.03	341.5585
125	0.23	4459.14	342.7191
256	0.45	4549.22	342.3015
259	0.46	4567.79	1708.0749
253	0.45	4549.59	341.6185
512	0.88	4683.00	334.4154
515	0.88	4691.81	409.7902
509	0.87	4684.72	407.0824
1024	1.67	4935.77	365.7145
1027	1.67	4943.86	351.3080
1021	1.66	4936.54	338.5999
2048	3.02	5441.95	345.7696
2051	3.01	5464.70	348.4816
2045	3.01	5443.92	348.3280
4096	5.59	5876.59	390.5006
4099	5.56	5919.67	374.9569
4093	5.59	5882.78	2056.1329
8192	9.77	6726.62	413.6166
8195	9.78	6724.32	394.7996
8189	9.78	6714.17	399.7335
16384	14.29	12032.00	13993.7821
16387	15.64	8908.80	2942.2557
16381	15.49	8524.80	776.9083
32768	23.92	11357.87	2709.6390
32771	23.41	11835.73	3583.1974
32765	23.20	12339.20	5073.4524
