# [SIZE (B)]	[BANDWIDTH (Gb/s)]	[AVERAGE TIME (nsec)]	[STD DEV]
1	inf	51.20	102.4000
4	inf	42.67	95.4056
2	inf	59.73	108.2759
5	inf	59.73	108.2759
4	inf	51.20	102.4000
7	inf	51.20	102.4000
1	inf	68.27	113.2075
8	inf	59.73	108.2759
11	inf	68.27	113.2075
5	inf	76.80	117.3139
16	inf	59.73	108.2759
19	inf	51.20	102.4000
13	inf	51.20	121.8804
32	inf	59.73	126.8571
35	inf	68.27	131.0916
29	inf	59.73	108.2759
64	inf	51.20	102.4000
67	inf	42.67	95.4056
61	inf	59.73	108.2759
128	inf	68.27	113.2075
131	inf	85.33	120.6796
125	inf	34.13	87.0233
256	inf	68.27	113.2075
259	inf	68.27	113.2075
253	inf	51.20	102.4000
512	inf	51.20	102.4000
515	inf	42.67	95.4056
509	inf	85.33	137.5959
1024	inf	85.33	120.6796
1027	inf	76.80	117.3139
1021	inf	59.73	108.2759
2048	inf	128.00	144.0592
2051	inf	110.93	126.8571
2045	inf	102.40	141.7664
4096	125.87	264.53	45.9534
4099	inf	204.80	121.8804
4093	inf	204.80	102.4000
8192	220.44	332.80	134.6537
8195	236.18	307.20	138.6503
8189	217.52	332.80	117.3139
16384	164.12	819.20	138.6503
16387	169.28	793.60	120.9809
16381	178.31	768.00	161.9086
32768	149.40	1783.47	233.5391
32771	149.21	1783.47	223.9898
32765	149.93	1783.47	260.0917
65536	158.16	3345.07	336.6073
65539	160.55	3293.87	322.0132
65533	162.93	3242.67	305.2978
131072	158.74	6647.47	581.8332
131075	159.53	6630.40	678.4403
131069	159.14	6647.47	688.4555
262144	132.65	15837.87	738.2196
262147	132.00	15940.27	1023.8578
262141	131.93	15957.33	1110.6454
524288	120.01	35054.93	2149.9259
524291	117.56	35874.13	2861.2001
524285	111.94	37572.27	2080.4715
1048576	115.36	73011.20	4858.7874
1048579	115.97	72661.33	4953.0469
1048573	110.85	75741.87	2266.4636
2097152	112.18	149742.93	5278.7892
2097155	113.49	148189.87	7192.2586
2097149	114.12	147379.20	7302.1055
4194304	112.32	299187.20	11358.0846
4194307	112.52	298683.73	11940.1308
4194301	111.82	300356.27	8988.2212
