# [SIZE (B)]	[BANDWIDTH (Gb/s)]	[AVERAGE TIME (nsec)]	[STD DEV]
1	inf	42.67	95.4056
4	inf	25.60	76.8000
2	inf	25.60	76.8000
5	inf	34.13	87.0233
4	inf	25.60	76.8000
7	inf	25.60	76.8000
1	inf	34.13	87.0233
8	inf	51.20	102.4000
11	inf	25.60	76.8000
5	inf	25.60	76.8000
16	inf	34.13	87.0233
19	inf	34.13	87.0233
13	inf	34.13	87.0233
32	inf	34.13	87.0233
35	inf	42.67	95.4056
29	inf	42.67	95.4056
64	inf	51.20	102.4000
67	inf	34.13	87.0233
61	inf	42.67	95.4056
128	inf	42.67	95.4056
131	inf	76.80	117.3139
125	inf	42.67	95.4056
256	inf	51.20	102.4000
259	inf	59.73	108.2759
253	inf	42.67	95.4056
512	inf	85.33	120.6796
515	inf	68.27	113.2075
509	inf	42.67	95.4056
1024	inf	93.87	123.3650
1027	inf	85.33	120.6796
1021	inf	110.93	126.8571
2048	inf	51.20	102.4000
2051	inf	110.93	126.8571
2045	inf	110.93	126.8571
4096	inf	162.13	123.3650
4099	inf	213.33	116.0659
4093	inf	136.53	127.7152
8192	237.51	298.67	116.0659
8195	237.60	298.67	116.0659
8189	247.38	273.07	63.8576
16384	216.18	648.53	183.8136
16387	216.22	640.00	158.4996
16381	217.56	640.00	171.7300
32768	151.09	1749.33	163.0291
32771	151.79	1740.80	153.6000
32765	154.94	1715.20	210.5850
65536	154.95	3396.27	237.7112
65539	156.17	3370.67	229.7670
65533	158.53	3319.47	214.0149
131072	156.00	6724.27	131.0916
131075	154.07	6818.13	306.3692
131069	155.28	6766.93	334.9809
262144	138.22	15240.53	1174.5041
262147	139.43	15061.33	595.1962
262141	139.48	15052.80	550.6480
524288	123.16	34056.53	154.7806
524291	123.25	34030.93	131.0916
524285	111.31	37768.53	1995.8516
1048576	119.61	70323.20	3705.1670
1048579	118.98	70809.60	4711.8838
1048573	119.84	70135.47	3314.5053
2097152	115.47	145604.27	6566.6814
2097155	117.07	143522.13	5605.7505
2097149	115.98	144878.93	5725.8349
4194304	119.71	280883.20	12937.9067
4194307	120.07	279893.33	11139.6449
4194301	119.77	280473.60	9407.5733
